id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
774806,12651,2001,448,3,000000000111,3448,1,3,36
774917,13020,2001,792,1,000000000010,6092,1,1,1
774917,26939,2001,9937,2,000010010000,76438,1,1,17
774948,27248,2001,1136,9,000111111111,8740,1,2,14
775231,,2001,6871,8,,54971,2,1,-9
775297,14346,2001,3357,1,000000000001,25823,1,2,1
775302,11724,2001,1540,11,111111111110,11843,1,3,1
775376,201,2001,599,9,001110111111,5991,1,1,1
775376,3816,2001,103,2,001100000000,1033,1,1,1
775376,3859,2001,155,2,000101000000,1549,1,1,1
775376,6138,2001,527,6,000111010101,5268,1,1,1
775376,6556,2001,39,1,000000000001,387,1,1,26
775376,6750,2001,537,3,000001000011,5371,1,1,1
775376,9427,2001,382,6,001011110001,3822,1,1,26
775376,9980,2001,527,7,001111010011,5268,1,1,26
775376,17107,2001,35,1,000000000001,351,1,1,4
775376,18262,2001,516,1,000000000001,5165,1,1,1
775376,21585,2001,52,1,000000000010,516,1,1,1
775376,22243,2001,336,3,000000010011,3357,1,1,1
775376,22595,2001,413,3,001000010001,4132,1,1,26
775376,24237,2001,186,3,001101000000,1859,1,1,1
775376,25987,2001,744,9,001110111111,7437,1,1,26
775376,26365,2001,323,5,000011010011,3228,1,1,1
775376,28336,2001,207,4,000010100101,2071,1,1,1
775695,22868,2001,253,3,000001001001,1943,1,1,36
775877,,2001,233,1,,1792,2,1,-9
776060,16649,2001,8418,6,101111100000,64756,1,1,13
776394,20881,2001,161,1,000000100000,1239,1,1,36
776451,1534,2001,749,1,000000000001,5760,1,3,13
776471,11978,2001,389,7,000001111111,2995,1,2,36
776557,26426,2001,9064,2,001000000100,69722,1,2,1
776557,30712,2001,168,1,000000000010,1291,1,2,1
776586,,2001,4496,3,,34582,2,2,-9
777131,,2001,2810,10,,21618,2,3,-9
777246,28891,2001,123,5,010001101010,949,1,1,26
777254,5373,2001,977,1,000100000000,9771,1,2,1
777310,,2001,290,2,,2277,2,2,-9
777587,12605,2001,4028,10,001111111111,30987,1,2,1
777587,15816,2001,4364,10,111111111001,33570,1,2,1
777627,,2001,3126,2,,25009,2,2,-9
777722,3917,2001,3099,1,000001000000,30987,1,1,36
777722,16072,2001,947,3,000001000011,9467,1,3,1
777804,29210,2001,444,4,011110000000,4442,1,2,14
777888,23885,2001,671,4,000111100000,5165,1,1,17
778221,1000,2001,1549,1,010000000000,15494,1,2,1
778221,2643,2001,7644,4,001001001010,76441,1,2,36
778263,10931,2001,336,1,000000000001,2582,1,1,5
779007,9608,2001,1,1,000000000001,8,1,4,32
779089,8404,2001,1108,1,000000000001,8522,1,4,36
779126,1620,2001,1866,10,111111111100,14357,1,1,13
779831,1586,2001,2582,1,000000000100,25823,1,3,1
779902,17334,2001,16,2,000000110000,123,1,3,32
780015,3464,2001,298,2,000010100000,2292,1,3,14
780015,,2001,180,2,,1383,2,3,-9
780029,15548,2001,2235,12,111111111111,17192,1,1,1
780207,27548,2001,3,1,000000000010,24,1,2,32
780296,23648,2001,4568,12,111111111111,35135,1,4,1
780310,9222,2001,3483,12,111111111111,26792,1,1,1
780344,803,2001,44,1,000000000010,338,1,4,14
780417,,2001,179,4,,1434,2,3,-9
780574,23274,2001,268,6,000000111111,2058,1,1,1
780679,,2001,278,5,,2138,2,1,-9
780724,22257,2001,851,6,000000111111,6547,1,2,13
780948,14560,2001,5458,12,111111111111,54584,1,1,1
781298,18597,2001,8757,11,011111111111,67362,1,2,1
781360,5595,2001,4191,10,001111111111,32239,1,2,36
