id_individual,contribution,cont_type,contribution_year,work_area,compensation
10525,1206.9599609,1,1997,1,12069.59375
10777,1019.7299805,1,1997,1,10197.296875
10993,63.949981689,1,1997,1,639.5
11225,1962.5390625,1,1997,1,19625.390625
11353,5184.609375,1,1997,2,51846.09375
11820,69.359985352,1,1997,4,693.59960938
11853,294.37988281,1,1997,1,2943.7988281
12322,131.17993164,1,1997,1,1311.7998047
13020,619.75,1,1997,2,6197.5
13163,353.25976563,1,1997,1,3532.5996094
13194,49.059997559,1,1997,2,490.59985352
13205,7359.5078125,1,1997,1,73595.0625
13395,3469.8183594,1,1997,1,34698.1875
13415,0.1799999475,1,1997,1,1.7999992371
13761,981.26953125,1,1997,1,9812.6953125
13932,1447.3691406,1,1997,2,14473.695313
14231,4906.3398438,1,1997,1,49063.375
14693,189.02990723,1,1997,1,1890.2998047
14702,212.89990234,1,1997,2,2129
15252,9.859992981,1,1997,1,98.599975586
15331,27.259994507,1,1997,5,272.59985352
15415,2453.1699219,1,1997,3,24531.6875
15588,538.71972656,1,1997,5,5387.1992188
15595,396.16992188,1,1997,2,3961.6992188
15725,932.71972656,1,1997,3,9327.1953125
15790,1751.5595703,1,1997,3,17515.59375
15996,2453.1699219,1,1997,2,24531.6875
16156,907.40966797,1,1997,1,9074.09375
16223,1499.7792969,1,1997,1,14997.796875
16248,86.549987793,1,1997,1,865.5
16488,2178.4199219,1,1997,1,21784.1875
16567,16.509994507,1,1997,1,165.09997559
16784,32.029998779,1,1997,3,320.29980469
17205,303.20996094,1,1997,3,3032.0996094
17282,72.08996582,1,1997,4,720.89990234
17457,8.25,1,1997,1,82.5
17499,1226.5898438,1,1997,1,12265.898438
17797,20.489990234,1,1997,1,204.89990234
17864,1265.8398438,1,1997,1,12658.398438
17907,269.58984375,1,1997,1,2695.8984375
17909,457.05981445,2,1997,1,4570.5976563
17966,883.13964844,1,1997,1,8831.3984375
18048,370.16992188,1,1997,1,3701.6992188
18050,333.61987305,1,1997,2,3336.1992188
18224,202.90991211,1,1997,2,2029.0996094
18500,71.899963379,1,1997,1,719
18613,1962.5390625,1,1997,1,19625.390625
18761,245.31994629,1,1997,1,2453.1992188
19091,1066.6396484,1,1997,1,10666.398438
19305,449.59985352,1,1997,2,4496
19429,3491.7695313,1,1997,3,34917.6875
19534,436.92993164,1,1997,1,4369.296875
19738,1567.9599609,1,1997,2,15679.59375
19768,100.98999023,1,1997,3,1009.8999023
19952,181.27990723,1,1997,2,1812.7998047
20068,57.019989014,1,1997,2,570.19970703
21031,80.569946289,1,1997,3,805.69970703
21180,3669.4082031,1,1997,2,36694.09375
21225,120.65997314,1,1997,3,1206.5996094
21695,1177.5195313,1,1997,2,11775.195313
21705,88.25,1,1997,1,882.5
22004,529.87988281,1,1997,2,5298.796875
22037,254.09997559,2,1997,4,2541
22071,171.7199707,1,1997,4,1717.1992188
22150,75.25,1,1997,2,752.5
22288,246.62988281,1,1997,1,2466.2988281
22529,91.649963379,1,1997,2,916.5
22570,780.07958984,1,1997,3,7800.796875
22633,1890.2294922,1,1997,1,18902.296875
22693,681.20996094,1,1997,1,6812.0976563
22787,2.4499988556,1,1997,2,24.5
22859,3151.9394531,1,1997,2,31519.390625
23645,147.18994141,1,1997,1,1471.8994141
23799,2014.1796875,1,1997,2,20141.796875
24285,265.82983398,1,1997,3,2658.2988281
24642,2502.2285156,1,1997,1,25022.296875
25160,29.439987183,1,1997,3,294.39990234
25863,4856.296875,1,1997,1,48563
25868,647.63964844,1,1997,4,6476.3984375
25870,12.109992981,1,1997,1,121.09997559
26328,765.38964844,3,1997,2,7653.8984375
26335,182.30993652,1,1997,4,1823.0996094
26386,1570.0292969,1,1997,1,15700.296875
26501,1766.2792969,1,1997,3,17662.796875
26982,96.729980469,1,1997,2,967.29980469
27284,564.22998047,1,1997,1,5642.296875
27415,1471.8994141,1,1997,2,14719
27547,3.609998703,1,1997,1,36.099975586
27950,7083.0976563,1,1997,2,70831
28001,735.94970703,1,1997,1,7359.5
28010,1888.9394531,1,1997,2,18889.390625
28052,439.32983398,1,1997,3,4393.296875
28053,174.23999023,1,1997,1,1742.3994141
28167,148.67993164,1,1997,2,1486.7998047
28189,313.51977539,1,1997,1,3135.1992188
28772,196.25,1,1997,4,1962.5
28908,981.26953125,1,1997,1,9812.6953125
28929,3.9299983978,1,1997,1,39.299987793
29530,210.9699707,1,1997,1,2109.6992188
29624,189.01989746,1,1997,2,1890.1992188
30557,26.559997559,1,1997,1,265.59985352
30708,427.84985352,1,1997,1,4278.5
31258,294.37988281,2,1997,1,2943.7988281
31708,37.41998291,1,1997,1,374.19995117
31977,2453.1699219,1,1997,3,24531.6875
32240,4935.7773438,1,1997,4,49357.78125
32425,1502.2099609,2,1997,2,15022.09375
32743,5939.25,1,1997,1,59392.5
32913,12.289993286,1,1997,1,122.89996338
32954,303.44995117,1,1997,4,3034.5
33080,981.26953125,1,1997,1,9812.6953125
33240,1530.7792969,1,1997,2,15307.796875
33294,1471.8994141,1,1997,1,14719
33785,1513.1191406,1,1997,3,15131.195313
33828,63.779998779,1,1997,1,637.79980469
33997,3679.7597656,1,1997,3,36797.59375
34501,1527.3398438,1,1997,1,15273.398438
35157,1090.3398438,1,1997,1,10903.398438
35218,56.629974365,1,1997,2,566.29980469
35262,2943.7988281,1,1997,2,29438
35307,906.37988281,2,1997,1,9063.796875
35311,282.05981445,1,1997,3,2820.5996094
35440,1294.5,1,1997,1,12945
35786,3017.5292969,1,1997,1,30175.296875
36119,90.899963379,1,1997,3,909
36975,1430.5898438,2,1997,1,14305.898438
37079,4286.5898438,1,1997,3,42865.875
37214,7083.0976563,1,1997,2,70831
37242,57.109985352,1,1997,3,571.09960938
37338,2453.1699219,1,1997,2,24531.6875
37417,441.56982422,1,1997,3,4415.6992188
37435,22.469985962,1,1997,1,224.69995117
37738,49.059997559,1,1997,1,490.59985352
37875,2.8499984741,1,1997,1,28.5
38081,1176.9892578,1,1997,1,11769.898438
38118,17.659988403,1,1997,1,176.59997559
